max_vec:
Permutation("afcbed", 1372.5183810125836, 334.06789371526355)
Permutation("abefcd", 1372.518381002291, 334.06789371284003)
Permutation("bdafce", 1370.4784121919438, 370.6053596944738)
Permutation("bfcdae", 1370.4784121908642, 370.60535969394505)
Permutation("cadebf", 1370.4651429267892, 370.60452292846657)
Permutation("cebadf", 1370.4651429094342, 370.604522923718)
Permutation("bdface", 1368.6666556704563, 278.52597772373383)
Permutation("bfdcae", 1368.6666556603327, 278.52597772053406)
Permutation("caedbf", 1368.6533327327775, 278.52351390373366)
Permutation("ceabdf", 1368.6533327147492, 278.52351389812696)
Permutation("badcfe", 1366.3209488186476, 333.3720725804742)
Permutation("bcfade", 1366.3209488182308, 333.37207258055537)
Permutation("cbedaf", 1366.3147079915962, 333.37040530078497)
Permutation("cdabef", 1366.3147079884334, 333.3704052999583)
Permutation("dbcaef", 1289.6014144785813, 459.70731921438755)
Permutation("aefdbc", 1289.6014144733244, 459.70731921305696)
Permutation("acbdfe", 1289.5991913187088, 459.7056031147614)
Permutation("bcaefd", 1289.599191307347, 459.7056031159548)
Permutation("bdceaf", 1285.421701167734, 459.65203238153003)
Permutation("cdbfae", 1285.4217011537526, 459.65203238316485)
Permutation("cabfde", 1285.4103712243918, 459.6501800457509)
Permutation("bacedf", 1285.4103712177614, 459.65018004921484)
Permutation("dbcafe", 1285.3588307963041, 484.93072233520036)
Permutation("aefdcb", 1285.3588307825241, 484.9307223335857)
Permutation("acbdef", 1285.3576896816865, 484.9291469309656)
Permutation("cbaefd", 1285.3576896768761, 484.92914693128)
Permutation("bfaecd", 1282.5710139488774, 458.03395983950577)
Permutation("afbdce", 1282.5710139303512, 458.0339598393228)
Permutation("decabf", 1282.557661228945, 458.0334084436017)
Permutation("abfdec", 1282.5576612245006, 458.0334084427918)
Permutation("dcbfae", 1280.4126852739441, 484.91361128599345)
Permutation("afecdb", 1280.4126852678698, 484.91361128601426)
Permutation("cabfed", 1280.4007779130286, 484.911943598725)
Permutation("abcedf", 1280.4007778996106, 484.9119435991368)
Permutation("bfaedc", 1278.841504848362, 483.7131473522324)
Permutation("ecdbaf", 1278.8415048465963, 483.71314735205056)
Permutation("edcabf", 1278.8284835633058, 483.71289407712)
Permutation("bafdec", 1278.828483559188, 483.7128940759362)
Permutation("bdcaef", 1226.2130861499247, 443.3649611678364)
Permutation("cbdfae", 1226.2130861192327, 443.36496116201124)
Permutation("cabdfe", 1226.2083907667459, 443.3629616993824)
Permutation("bcaedf", 1226.2083907476276, 443.36296169539185)
Permutation("dbceaf", 1224.2930587768883, 443.4647077480715)
Permutation("aefbdc", 1224.2930587653864, 443.46470774853987)
Permutation("acbfde", 1224.284180094917, 443.4626042105959)
Permutation("bacefd", 1224.284180070257, 443.46260420997646)
Permutation("dceabf", 1217.7635563573056, 441.6994335906773)
Permutation("afbdec", 1217.7635563505191, 441.69943358804557)
Permutation("bfaced", 1217.7497801636487, 441.6985841563664)
Permutation("abfdce", 1217.749780138792, 441.6985841533867)
Permutation("bdcafe", 1215.4739001438074, 445.83748273714497)
Permutation("bcdfae", 1215.473900115857, 445.8374827300446)
Permutation("cabdef", 1215.4695878441767, 445.83559799350337)
Permutation("cbaedf", 1215.469587834062, 445.8355979888004)
Permutation("aefbcd", 1213.2798728218395, 445.95754749952533)
Permutation("afecbd", 1213.279872795546, 445.95754749532483)
Permutation("acbfed", 1213.2707021453086, 445.9557383522409)
Permutation("abcefd", 1213.27070211948, 445.9557383482806)
Permutation("cedbaf", 1207.3065469548512, 443.9922698755431)
Permutation("cdeabf", 1207.306546935983, 443.99226987111035)
Permutation("bfacde", 1207.2931595522666, 443.9905642311208)
Permutation("bafdce", 1207.2931595355672, 443.99056422586955)
Permutation("bfeadc", 1188.9868210336874, 305.32237993647107)
Permutation("ecbdaf", 1188.9868210287086, 305.32237993574967)
Permutation("badfec", 1188.9840326606975, 305.3217252848758)
Permutation("edacbf", 1188.9840326511708, 305.32172528413196)
Permutation("acdbef", 1185.6034007708527, 304.72772545625963)
Permutation("cbeafd", 1185.603400767439, 304.72772545381684)
Permutation("aedfcb", 1185.593347341409, 304.72580924780806)
Permutation("dbacfe", 1185.5933473396924, 304.7258092469053)
Permutation("abecdf", 1181.8967114033062, 303.865971527856)
Permutation("cafbed", 1181.8967113984363, 303.8659715300548)
Permutation("dcfbae", 1181.883902730134, 303.8638476458208)
Permutation("afcedb", 1181.8839027237916, 303.86384764657737)
Permutation("eadbcf", 1170.04812642791, 342.1961186039271)
Permutation("bdaefc", 1170.04812641975, 342.196118603058)
Permutation("ebcadf", 1170.0472511222954, 342.1964163587507)
Permutation("befdac", 1170.0472511065582, 342.19641635721035)
Permutation("cfaebd", 1165.4198863718555, 341.27308377810914)
Permutation("aebdcf", 1165.419886364608, 341.2730837776478)
Permutation("dfcabe", 1165.4089388472921, 341.2716810533314)
Permutation("acfdeb", 1165.4089388432171, 341.27168105278673)
Permutation("cebfad", 1164.220035200478, 341.663027555736)
Permutation("adcebf", 1164.2200351942913, 341.6630275546431)
Permutation("dabfce", 1164.2082289328555, 341.6617315238228)
Permutation("adecfb", 1164.208228932608, 341.6617315238939)
Permutation("afdbce", 1118.4805015254565, 278.9916802643534)
Permutation("bfeacd", 1118.4805015170386, 278.9916802658718)
Permutation("abdfec", 1118.477485812907, 278.9907066560743)
Permutation("deacbf", 1118.4774857995003, 278.9907066551394)
Permutation("bceafd", 1115.6448751568616, 278.706547805533)
Permutation("acdbfe", 1115.6448751506316, 278.70654780762254)
Permutation("aedfbc", 1115.635732160143, 278.70485874635733)
Permutation("dbacef", 1115.6357321524865, 278.70485874437213)
Permutation("baecdf", 1111.54920686647, 277.6371962973948)
Permutation("cafbde", 1111.5492068352314, 277.63719629663)
Permutation("cdfbae", 1111.5370799891489, 277.63598518859044)
Permutation("bdecaf", 1111.537079966038, 277.63598518894923)
Permutation("aedbcf", 1106.5030009295142, 356.48352359325946)
Permutation("cfeabd", 1106.5030009235763, 356.4835235924266)
Permutation("acdfeb", 1106.500407774783, 356.48354506731005)
Permutation("dfacbe", 1106.5004077568638, 356.48354506584246)
Permutation("eabdcf", 1103.4633500973725, 356.32515195417795)
Permutation("bdeafc", 1103.463350093612, 356.32515195406404)
Permutation("bedfac", 1103.4541454482244, 356.3246994707249)
Permutation("ebacdf", 1103.4541454447206, 356.3246994704384)
Permutation("adcefb", 1099.9110086201117, 356.33886390276086)
Permutation("dafbce", 1099.9110086140317, 356.33886390226166)
Permutation("cefbad", 1099.8993628487742, 356.33846528158733)
Permutation("adecbf", 1099.8993628317367, 356.3384652798374)
Permutation("dbcfae", 1042.4027356950282, 437.089876823127)
Permutation("aefcdb", 1042.4027356873119, 437.08987682258544)
Permutation("acbedf", 1042.3975531549413, 437.08761449199164)
Permutation("cabefd", 1042.397553143237, 437.0876144920054)
Permutation("aefcbd", 1040.7905816463137, 407.6578249198167)
Permutation("acbefd", 1040.787255263074, 407.6555705361963)
Permutation("bdcfae", 1040.1375876444133, 407.5981867385511)
Permutation("cabedf", 1040.1348280713974, 407.5959922276265)
Permutation("bfadec", 1034.6887409414242, 434.9742477383991)
Permutation("ecdabf", 1034.6887409372355, 434.97424773857654)
Permutation("bfadce", 1032.9944676033256, 404.6601187024363)
